scheme1	scheme2	ds	topic	loss	alpha	beta
tfidf	bm25	summary	29	284.466648055	0.99	0.01
tfidf	ib	summary	29	284.466647387	0.99	0.01
tfidf	lmd	summary	29	284.466647123	0.99	0.01
tfidf	lmj	summary	29	284.466648182	0.99	0.01
tfidf	dfr	summary	29	284.466647167	0.99	0.01
bm25	ib	summary	29	284.466690797	0.0	1.0
bm25	lmd	summary	29	284.466664354	0.0	1.0
bm25	lmj	summary	29	284.466757649	0.99	0.01
bm25	dfr	summary	29	284.466668794	0.0	1.0
ib	lmd	summary	29	284.466664354	0.0	1.0
ib	lmj	summary	29	284.466691592	0.99	0.01
ib	dfr	summary	29	284.466668794	0.0	1.0
lmd	lmj	summary	29	284.466665413	0.99	0.01
lmd	dfr	summary	29	284.466664399	0.99	0.01
lmj	dfr	summary	29	284.466668794	0.0	1.0
