scheme1	scheme2	ds	topic	loss	alpha	beta
tfidf	bm25	summary	12	233.86828182	0.99	0.01
tfidf	ib	summary	12	233.868268142	0.0	1.0
tfidf	lmd	summary	12	233.868280732	0.99	0.01
tfidf	lmj	summary	12	233.868281655	0.99	0.01
tfidf	dfr	summary	12	233.868281587	0.99	0.01
bm25	ib	summary	12	233.868268142	0.0	1.0
bm25	lmd	summary	12	233.868331622	0.0	1.0
bm25	lmj	summary	12	233.868423955	0.0	1.0
bm25	dfr	summary	12	233.868417151	0.0	1.0
ib	lmd	summary	12	233.868268777	0.99	0.01
ib	lmj	summary	12	233.8682697	0.99	0.01
ib	dfr	summary	12	233.868269632	0.99	0.01
lmd	lmj	summary	12	233.868332545	0.99	0.01
lmd	dfr	summary	12	233.868332477	0.99	0.01
lmj	dfr	summary	12	233.868417151	0.0	1.0
