alpha	beta	ds	loss	scheme1	scheme2	topic
0.01	0.99	summary	24.0981586057	lmd	ib	9
0.36	0.64	summary	47.1787009087	lmd	ib	10
0.01	0.99	summary	228.979918232	lmd	ib	11
0.01	0.99	summary	368.607782616	lmd	ib	12
1.0	0.0	summary	257.113099726	lmd	ib	13
0.01	0.99	summary	197.760447717	lmd	ib	14
1.0	0.0	summary	243.655356725	lmd	ib	15
1.0	0.0	summary	83.4913874305	lmd	ib	16
1.0	0.0	summary	174.662636548	lmd	ib	17
0.01	0.99	summary	265.331557018	lmd	ib	18
0.01	0.99	summary	175.436510026	lmd	ib	19
0.01	0.99	summary	359.89115212	lmd	ib	20
1.0	0.0	summary	501.655013013	lmd	ib	21
1.0	0.0	summary	112.365371957	lmd	ib	22
0.01	0.99	summary	310.926426338	lmd	ib	23
0.01	0.99	summary	132.505074543	lmd	ib	24
0.5	0.5	summary	128.034843835	lmd	ib	25
0.48	0.52	summary	260.017323879	lmd	ib	26
0.01	0.99	summary	703.574519404	lmd	ib	27
0.69	0.31	summary	142.794382225	lmd	ib	28
0.5	0.5	summary	328.015018142	lmd	ib	29
0.49	0.51	summary	340.016323141	lmd	ib	30
1.0	0.0	summary	259.336765575	lmd	tfidf	1
1.0	0.0	summary	587.076899119	lmd	tfidf	2
1.0	0.0	summary	57.6604146884	lmd	tfidf	3
1.0	0.0	summary	250.321150712	lmd	tfidf	4
0.01	0.99	summary	314.918680283	lmd	tfidf	5
1.0	0.0	summary	344.216416812	lmd	tfidf	6
0.53	0.47	summary	396.013609538	lmd	tfidf	7
0.01	0.99	summary	367.380554181	lmd	tfidf	8
0.01	0.99	summary	24.1824590128	lmd	tfidf	9
1.0	0.0	summary	46.1866337742	lmd	tfidf	10
0.92	0.08	summary	236.010918238	lmd	tfidf	11
0.36	0.64	summary	375.669640837	lmd	tfidf	12
1.0	0.0	summary	243.113099726	lmd	tfidf	13
0.94	0.06	summary	196.786996511	lmd	tfidf	14
1.0	0.0	summary	244.655356725	lmd	tfidf	15
1.0	0.0	summary	90.4913874305	lmd	tfidf	16
1.0	0.0	summary	182.662636548	lmd	tfidf	17
0.01	0.99	summary	281.372158022	lmd	tfidf	18
0.32	0.68	summary	164.511715098	lmd	tfidf	19
1.0	0.0	summary	346.934805753	lmd	tfidf	20
0.01	0.99	summary	510.610491985	lmd	tfidf	21
0.73	0.27	summary	109.364258499	lmd	tfidf	22
1.0	0.0	summary	311.944747744	lmd	tfidf	23
0.01	0.99	summary	136.529804542	lmd	tfidf	24
0.52	0.48	summary	128.037322543	lmd	tfidf	25
0.5	0.5	summary	268.017811022	lmd	tfidf	26
1.0	0.0	summary	699.579197503	lmd	tfidf	27
1.0	0.0	summary	146.797020832	lmd	tfidf	28
0.49	0.51	summary	332.014638399	lmd	tfidf	29
0.49	0.51	summary	328.016194241	lmd	tfidf	30
