scheme1	scheme2	ds	topic	loss	alpha
lmj	dfr	summary	22.0	692.30467605	0.0
tfidf	bm25	summary	23.0	748.546539768	0.99
tfidf	ib	summary	23.0	748.546540161	0.99
tfidf	lmd	summary	23.0	748.546539672	0.99
tfidf	lmj	summary	23.0	748.546500365	0.0
tfidf	dfr	summary	23.0	748.546539977	0.99
bm25	ib	summary	23.0	748.546558515	0.99
bm25	lmd	summary	23.0	748.546548567	0.0
bm25	lmj	summary	23.0	748.546500365	0.0
bm25	dfr	summary	23.0	748.546558331	0.99
ib	lmd	summary	23.0	748.546548567	0.0
ib	lmj	summary	23.0	748.546500365	0.0
ib	dfr	summary	23.0	748.546579049	0.0
lmd	lmj	summary	23.0	748.546500365	0.0
lmd	dfr	summary	23.0	748.546548871	0.99
lmj	dfr	summary	23.0	748.546501152	0.99
tfidf	bm25	summary	24.0	695.679937243	0.01
tfidf	ib	summary	24.0	695.679655314	0.0
tfidf	lmd	summary	24.0	695.679605884	0.0
tfidf	lmj	summary	24.0	695.679765594	0.0
tfidf	dfr	summary	24.0	695.679679995	0.0
bm25	ib	summary	24.0	695.679655314	0.0
bm25	lmd	summary	24.0	695.679605884	0.0
bm25	lmj	summary	24.0	695.679765594	0.0
bm25	dfr	summary	24.0	695.679679995	0.0
ib	lmd	summary	24.0	695.679605884	0.0
ib	lmj	summary	24.0	695.679656416	0.99
ib	dfr	summary	24.0	695.67965556	0.99
lmd	lmj	summary	24.0	695.679607481	0.99
lmd	dfr	summary	24.0	695.679606625	0.99
lmj	dfr	summary	24.0	695.679679995	0.0
tfidf	bm25	summary	25.0	671.505276791	0.99
tfidf	ib	summary	25.0	671.505277413	0.99
tfidf	lmd	summary	25.0	671.505277234	0.99
tfidf	lmj	summary	25.0	671.50527763	0.99
tfidf	dfr	summary	25.0	671.505277228	0.99
bm25	ib	summary	25.0	671.505308187	0.99
bm25	lmd	summary	25.0	671.505308008	0.99
bm25	lmj	summary	25.0	671.505308404	0.99
bm25	dfr	summary	25.0	671.505308002	0.99
ib	lmd	summary	25.0	671.505352016	0.0
ib	lmj	summary	25.0	671.505370069	0.99
ib	dfr	summary	25.0	671.50535139	0.0
lmd	lmj	summary	25.0	671.505352412	0.99
lmd	dfr	summary	25.0	671.50535139	0.0
lmj	dfr	summary	25.0	671.50535139	0.0
tfidf	bm25	summary	26.0	772.173802752	0.01
tfidf	ib	summary	26.0	772.173825818	0.0
tfidf	lmd	summary	26.0	772.173799095	0.0
tfidf	lmj	summary	26.0	772.173837549	0.99
tfidf	dfr	summary	26.0	772.173837556	0.99
bm25	ib	summary	26.0	772.173802636	0.99
bm25	lmd	summary	26.0	772.173799095	0.0
bm25	lmj	summary	26.0	772.17380287	0.99
bm25	dfr	summary	26.0	772.173802878	0.99
ib	lmd	summary	26.0	772.173799095	0.0
ib	lmj	summary	26.0	772.173826052	0.99
ib	dfr	summary	26.0	772.173826059	0.99
lmd	lmj	summary	26.0	772.173799596	0.99
lmd	dfr	summary	26.0	772.173799604	0.99
lmj	dfr	summary	26.0	772.173849238	0.99
tfidf	bm25	summary	27.0	731.103708502	0.99
tfidf	ib	summary	27.0	731.103063095	0.0
tfidf	lmd	summary	27.0	731.103123682	0.0
tfidf	lmj	summary	27.0	731.103148613	0.0
tfidf	dfr	summary	27.0	731.103195515	0.0
bm25	ib	summary	27.0	731.103063095	0.0
bm25	lmd	summary	27.0	731.103123682	0.0
bm25	lmj	summary	27.0	731.103148613	0.0
bm25	dfr	summary	27.0	731.103195515	0.0
ib	lmd	summary	27.0	731.103063701	0.99
ib	lmj	summary	27.0	731.10306395	0.99
ib	dfr	summary	27.0	731.103064419	0.99
lmd	lmj	summary	27.0	731.103123931	0.99
lmd	dfr	summary	27.0	731.1031244	0.99
lmj	dfr	summary	27.0	731.103149082	0.99
tfidf	bm25	summary	28.0	769.352815248	0.01
tfidf	ib	summary	28.0	769.352896672	0.99
tfidf	lmd	summary	28.0	769.352850782	0.0
tfidf	lmj	summary	28.0	769.352896838	0.99
tfidf	dfr	summary	28.0	769.352883945	0.0
bm25	ib	summary	28.0	769.352816418	0.99
bm25	lmd	summary	28.0	769.3528148	0.99
bm25	lmj	summary	28.0	769.352816584	0.99
bm25	dfr	summary	28.0	769.352815132	0.99
ib	lmd	summary	28.0	769.352850782	0.0
ib	lmj	summary	28.0	769.353012703	0.99
ib	dfr	summary	28.0	769.352883945	0.0
lmd	lmj	summary	28.0	769.352852565	0.99
lmd	dfr	summary	28.0	769.352851114	0.99
lmj	dfr	summary	28.0	769.352883945	0.0
tfidf	bm25	summary	29.0	796.349039283	0.99
tfidf	ib	summary	29.0	796.34903909	0.99
tfidf	lmd	summary	29.0	796.349039426	0.99
tfidf	lmj	summary	29.0	796.349039402	0.99
tfidf	dfr	summary	29.0	796.349039362	0.99
bm25	ib	summary	29.0	796.349075906	0.0
bm25	lmd	summary	29.0	796.349095303	0.99
bm25	lmj	summary	29.0	796.349095278	0.99
bm25	dfr	summary	29.0	796.349095238	0.99
ib	lmd	summary	29.0	796.349076242	0.99
ib	lmj	summary	29.0	796.349076218	0.99
ib	dfr	summary	29.0	796.349076178	0.99
lmd	lmj	summary	29.0	796.349107042	0.0
lmd	dfr	summary	29.0	796.349103057	0.0
lmj	dfr	summary	29.0	796.349103057	0.0
tfidf	bm25	summary	30.0	754.739589453	0.99
tfidf	ib	summary	30.0	754.739589385	0.99
tfidf	lmd	summary	30.0	754.739589322	0.99
tfidf	lmj	summary	30.0	754.739589851	0.99
tfidf	dfr	summary	30.0	754.739589162	0.99
bm25	ib	summary	30.0	754.739626571	0.0
bm25	lmd	summary	30.0	754.73962028	0.0
bm25	lmj	summary	30.0	754.739633768	0.99
bm25	dfr	summary	30.0	754.739604344	0.0
ib	lmd	summary	30.0	754.73962028	0.0
ib	lmj	summary	30.0	754.739627037	0.99
ib	dfr	summary	30.0	754.739604344	0.0
lmd	lmj	summary	30.0	754.739620809	0.99
lmd	dfr	summary	30.0	754.739604344	0.0
lmj	dfr	summary	30.0	754.739604344	0.0
