scheme1	scheme2	ds	topic	loss	alpha	beta
tfidf	bm25	summary	15	226.548340492	0.99	0.01
tfidf	ib	summary	15	226.548133637	0.0	1.0
tfidf	lmd	summary	15	226.548235349	0.0	1.0
tfidf	lmj	summary	15	226.548339336	0.99	0.01
tfidf	dfr	summary	15	226.548268126	0.0	1.0
bm25	ib	summary	15	226.548133637	0.0	1.0
bm25	lmd	summary	15	226.548235349	0.0	1.0
bm25	lmj	summary	15	226.548377511	0.0	1.0
bm25	dfr	summary	15	226.548268126	0.0	1.0
ib	lmd	summary	15	226.548134654	0.99	0.01
ib	lmj	summary	15	226.548136075	0.99	0.01
ib	dfr	summary	15	226.548134982	0.99	0.01
lmd	lmj	summary	15	226.54823677	0.99	0.01
lmd	dfr	summary	15	226.548235676	0.99	0.01
lmj	dfr	summary	15	226.548268126	0.0	1.0
