scheme1	scheme2	ds	topic	loss	alpha	beta
tfidf	bm25	summary	22	238.923883591	0.99	0.01
tfidf	ib	summary	22	238.923883297	0.99	0.01
tfidf	lmd	summary	22	238.923883665	0.99	0.01
tfidf	lmj	summary	22	238.923885478	0.99	0.01
tfidf	dfr	summary	22	238.923884062	0.99	0.01
bm25	ib	summary	22	238.923922499	0.0	1.0
bm25	lmd	summary	22	238.923952128	0.99	0.01
bm25	lmj	summary	22	238.923953943	0.99	0.01
bm25	dfr	summary	22	238.923952527	0.99	0.01
ib	lmd	summary	22	238.923922868	0.99	0.01
ib	lmj	summary	22	238.923924681	0.99	0.01
ib	dfr	summary	22	238.923923265	0.99	0.01
lmd	lmj	summary	22	238.923961262	0.99	0.01
lmd	dfr	summary	22	238.923959846	0.99	0.01
lmj	dfr	summary	22	238.923999164	0.0	1.0
