scheme1	scheme2	ds	topic	loss	alpha	beta
tfidf	bm25	summary	7	277.697527702	0.99	0.01
tfidf	ib	summary	7	277.697528104	0.99	0.01
tfidf	lmd	summary	7	277.697528599	0.99	0.01
tfidf	lmj	summary	7	277.697528866	0.99	0.01
tfidf	dfr	summary	7	277.697527533	0.99	0.01
bm25	ib	summary	7	277.697621612	0.99	0.01
bm25	lmd	summary	7	277.697622107	0.99	0.01
bm25	lmj	summary	7	277.697622374	0.99	0.01
bm25	dfr	summary	7	277.697604385	0.0	1.0
ib	lmd	summary	7	277.697661938	0.99	0.01
ib	lmj	summary	7	277.697662205	0.99	0.01
ib	dfr	summary	7	277.697604385	0.0	1.0
lmd	lmj	summary	7	277.697711247	0.99	0.01
lmd	dfr	summary	7	277.697604385	0.0	1.0
lmj	dfr	summary	7	277.697604385	0.0	1.0
