scheme1	scheme2	ds	topic	loss	alpha	beta
tfidf	bm25	summary	14	249.617183999	0.99	0.01
tfidf	ib	summary	14	249.617120697	0.0	1.0
tfidf	lmd	summary	14	249.617133335	0.0	1.0
tfidf	lmj	summary	14	249.617126429	0.0	1.0
tfidf	dfr	summary	14	249.617130985	0.0	1.0
bm25	ib	summary	14	249.617120697	0.0	1.0
bm25	lmd	summary	14	249.617133335	0.0	1.0
bm25	lmj	summary	14	249.617126429	0.0	1.0
bm25	dfr	summary	14	249.617130985	0.0	1.0
ib	lmd	summary	14	249.617120823	0.99	0.01
ib	lmj	summary	14	249.617120754	0.99	0.01
ib	dfr	summary	14	249.6171208	0.99	0.01
lmd	lmj	summary	14	249.617126429	0.0	1.0
lmd	dfr	summary	14	249.617130985	0.0	1.0
lmj	dfr	summary	14	249.617126474	0.99	0.01
