scheme1	scheme2	ds	topic	loss	alpha	beta
tfidf	bm25	summary	13	236.122392126	0.01	0.99
tfidf	ib	summary	13	236.122398723	0.99	0.01
tfidf	lmd	summary	13	236.122398686	0.99	0.01
tfidf	lmj	summary	13	236.12239875	0.99	0.01
tfidf	dfr	summary	13	236.122397981	0.99	0.01
bm25	ib	summary	13	236.122393026	0.99	0.01
bm25	lmd	summary	13	236.122392989	0.99	0.01
bm25	lmj	summary	13	236.122393054	0.99	0.01
bm25	dfr	summary	13	236.122392284	0.99	0.01
ib	lmd	summary	13	236.122484198	0.0	1.0
ib	lmj	summary	13	236.122487881	0.99	0.01
ib	dfr	summary	13	236.12241369	0.0	1.0
lmd	lmj	summary	13	236.122484262	0.99	0.01
lmd	dfr	summary	13	236.12241369	0.0	1.0
lmj	dfr	summary	13	236.12241369	0.0	1.0
