scheme1	scheme2	ds	topic	loss	alpha	beta
tfidf	bm25	summary	11	202.391566575	0.99	0.01
tfidf	ib	summary	11	202.391567091	0.99	0.01
tfidf	lmd	summary	11	202.391567189	0.99	0.01
tfidf	lmj	summary	11	202.391567406	0.99	0.01
tfidf	dfr	summary	11	202.391567148	0.99	0.01
bm25	ib	summary	11	202.391605152	0.99	0.01
bm25	lmd	summary	11	202.39160525	0.99	0.01
bm25	lmj	summary	11	202.391605467	0.99	0.01
bm25	dfr	summary	11	202.391605209	0.99	0.01
ib	lmd	summary	11	202.391656315	0.99	0.01
ib	lmj	summary	11	202.391656531	0.99	0.01
ib	dfr	summary	11	202.391656274	0.99	0.01
lmd	lmj	summary	11	202.391666205	0.99	0.01
lmd	dfr	summary	11	202.39166192	0.0	1.0
lmj	dfr	summary	11	202.39166192	0.0	1.0
