scheme1	scheme2	ds	topic	loss	alpha	beta
tfidf	bm25	summary	5	215.883718476	0.99	0.01
tfidf	ib	summary	5	215.883718267	0.99	0.01
tfidf	lmd	summary	5	215.88370893	0.0	1.0
tfidf	lmj	summary	5	215.883718744	0.99	0.01
tfidf	dfr	summary	5	215.883718063	0.99	0.01
bm25	ib	summary	5	215.883756699	0.0	1.0
bm25	lmd	summary	5	215.88370893	0.0	1.0
bm25	lmj	summary	5	215.883777852	0.99	0.01
bm25	dfr	summary	5	215.883736275	0.0	1.0
ib	lmd	summary	5	215.88370893	0.0	1.0
ib	lmj	summary	5	215.883757176	0.99	0.01
ib	dfr	summary	5	215.883736275	0.0	1.0
lmd	lmj	summary	5	215.883709884	0.99	0.01
lmd	dfr	summary	5	215.883709203	0.99	0.01
lmj	dfr	summary	5	215.883736275	0.0	1.0
